id	title	artist	bpm	charts	type	game
316	NoNoNo	Apink	106	S2 S3 S5 S14 SP15 D5 D14 DP4 DP15 CO2	NORMAL	PRIME
315	HER	Block B	162	S4 S6 S9 S16 D7 D17 DP3 CO2	NORMAL	PRIME
314	Sugar Free	T-ara	128	S4 S6 S8 S15 S17 D5 D16 DP3	NORMAL	PRIME
313	Supermagic	Supreme Team	112	S2 S4 S6 S14 D5 D15 DP4	NORMAL	PRIME
312	Hate, Don't Hate!	Dal shabet	123	S2 S4 S6 S15 D6 D16 DP2	NORMAL	PRIME
311	VENUS	SHINWHA	126	S2 S3 S5 S14 D6 D14	NORMAL	PRIME
310	Pandora	KARA	140	S2 S4 S7 S16 D6 D16 DP4	NORMAL	PRIME
309	I'm Sorry	CNBLUE	131	S4 S6 S9 S16 D8 D17 DP3	NORMAL	PRIME
308	very good	Block B	136	S3 S6 S9 S15 D5 D15 DP4	NORMAL	PRIME
307	ELVIS	AOA	135	S2 S4 S7 S15 S17 D5 D16 DP3	NORMAL	PRIME
306	On and On	VIXX	119	S2 S4 S6 S15 D5 D15 DP5	NORMAL	PRIME
305	Bar Bar Bar	Crayon Pop	134	S3 S5 S8 S14 D4 D11 D15 CO3	NORMAL	PRIME
304	Robot battle	CYO Style	198	S8 S12 S18 S21 D12 D19 D23 DP5	NORMAL	PRIME
303	You again my love	CYO Style & Henohenomoheji	137	S1 S3 S6 S14 D6 D14	NORMAL	PRIME
302	Campanella	Cashew	140	S6 S9 S16 D10 D16	NORMAL	PRIME
301	Red Snow	Cashew	170	S7 S11 S16 S19 D12 D20	NORMAL	PRIME
300	Point Zero One	SynthWulf	170	S9 S16 S20 D10 D17 D22 DP4	NORMAL	PRIME
299	scorpion king	r300k	113	S3 S5 S8 S15 S19 D10 D16 D20 DP3	NORMAL	PRIME
298	Rock the house	Matduke	175	S7 S10 S17 D10 D13 D18 D22 DP3	NORMAL	PRIME
297	Move That Body!	DM Ashura	145	S3 S5 S8 S12 S17 S20 D10 D18	NORMAL	PRIME
296	Annihilator Method	DM Ashura	192	S7 S10 S15 S19 D12 D20 D24 DP4	NORMAL	PRIME
295	Allegro Piu Mosso	DM Ashura	160	S4 S6 S11 S16 S19 D13 D19	NORMAL	PRIME
294	Sugar Conspiracy Theory	MAX	174	S1 S3 S6 S10 S15 S18 S19 D7 D11 D17 D20 DP5	NORMAL	PRIME
293	1950	SLAM	200	S17 S20 S23 S25 D21 D25 D27 DP3	NORMAL	PRIME
292	Blaze Emotion(Band version)	Yahpp	192	S2 S8 S17 D4 D18	NORMAL	PRIME
291	Hyacinth	Yahpp	192	S9 S13 S18 S21 D12 D19 D23	NORMAL	PRIME
290	Red Swan	Yahpp	172	S4 S6 S8 S18 D12 D20 D21 DP4 DP20 CO2	NORMAL	PRIME
289	Violet Perfume	SHK	140	S4 S6 S8 S14 S17 D10 D15 D19 DP4	NORMAL	PRIME
288	Super Fantasy	SHK	145	S4 S7 S10 S14 S16 S19 D11 D18 D21 DP2 CO2	NORMAL	PRIME
287	Removable Disk0	Doin	180	S3 S6 S15 D5 D16	NORMAL	PRIME
286	Leakage Voltage	Doin	180	S10 S15 S17 S20 D12 D19 D22	NORMAL	PRIME
285	Amphitryon	Gentle Stick	150	S6 S11 S18 D12 D20	NORMAL	PRIME
284	Hestia	Gentle Stick	150	S4 S7 S10 S18 D11 D20	NORMAL	PRIME
283	Mad5cience	Paul Bazooka	130	S5 S16 S20 D7 D16	NORMAL	PRIME
282	Meteorize	Paul Bazooka	136	S3 S5 S10 S15 S17 D8 D16 D18 DP3	NORMAL	PRIME
281	B2	MAX	158	S4 S7 S11 S16 S18 D13 D19 DP3	NORMAL	PRIME
280	You Got Me Crazy	MAX	128	S4 S6 S9 S17 S18 D5 D18 DP4	NORMAL	PRIME
279	Requiem	MAX	160	S4 S7 S11 S16 S19 D9 D19 D23 DP4	NORMAL	PRIME
278	Force of Ra	Memme	180	S7 S12 S17 S19 D12 D20	NORMAL	PRIME
277	Avalanche	Memme	175	S4 S6 S9 S18 S22 D10 D19 D24 DP3	NORMAL	PRIME
276	Chinese restaurant	Memme	175	S4 S7 S10 S16 S18 D10 D17 D20 DP3	NORMAL	PRIME
275	Silhouette_Effect	Nato	167	S4 S7 S10 S18 D12 D20 DP4	NORMAL	PRIME
274	Yog-Sothoth	Nato	200	S9 S18 S21 S23 D17 D23 D25 DP5 CO3	NORMAL	PRIME
273	Elysium	Warak	128	S4 S8 S15 D10 D16 DP2	NORMAL	PRIME
272	Latino Virus	Warak	170	S3 S7 S9 S17 D12 D19 DP3 CO2	NORMAL	PRIME
271	Katkoi	M2U	180	S7 S10 S14 S18 D12 D15 D19	NORMAL	PRIME
270	Nemesis	M2U	160	S4 S7 S11 S16 S18 D12 D20 DP4 CO2	NORMAL	PRIME
269	U Got Me Rocking	MAX	128	S17 D17	SHORT	FIESTA 2
268	Unique	SHK	145	S18 D16	SHORT	FIESTA 2
267	FFF	Doin	200	S18 D21	SHORT	FIESTA 2
266	Ignis Fatuus(DM Ashura Mix)	DM Ashura	220	S21 D21	SHORT	FIESTA 2
265	Passacaglia	SynthWulf	175	S17 D18	SHORT	FIESTA 2
264	Pop The Track	J-Mi & Midi-D	160	S18 D16	SHORT	FIESTA 2
263	What Are You Doin'?	Doin & MAX	200	S19 D24	REMIX	FIESTA 2
262	Infinity RMX	SynthWulf & MAX	175	S20 D20	REMIX	FIESTA 2
261	Mental Rider	SQUAR	120-140	S12 S16 S21 D13 D19 D23	NORMAL	FIESTA 2
260	Yeo rae a	SID SOUND	90.01	S1 S3 S5 S8 S13 D5 D12	NORMAL	FIESTA 2
259	Fllow me	SHK	155	S4 S6 S9 S14 S17 D9 D18 CO2	NORMAL	FIESTA 2
258	Windmill	Yak Won	246	S8 S13 S17 S21 D14 D18 D24	NORMAL	FIESTA 2
257	Log In	SHK	140	S4 S7 S10 S18 S21 D10 D20	NORMAL	FIESTA 2
256	Sugar Eyes	Sugar Eyes	122	S1 S3 S6 S8 S10 S13 D4 D9	NORMAL	FIESTA 2
255	Dam	Ben Chalatit	141	S1 S3 S5 S8 D4 D9	NORMAL	FIESTA 2
254	Online	Saykoji	118	S1 S4 S6 S15 D4 D15	NORMAL	FIESTA 2
253	Sik Asik	Ayu Ting Ting	147	S3 S5 S8 S13 D4 D14	NORMAL	FIESTA 2
252	Lucid(PIU Edit)	Yak Won	40-190	S4 S7 S10 S16 S20 D11 D20 D23 CO2	NORMAL	FIESTA 2
251	U Got Me Rocking	MAX	128	S3 S6 S8 S17 S18 D4 D17 DP3	NORMAL	FIESTA 2
250	D	MAX	180	S4 S7 S9 S18 D11 D18 D19	NORMAL	FIESTA 2
249	Accident	MAX	183	S4 S7 S10 S19 D11 D20	NORMAL	FIESTA 2
248	Unique	SHK	145	S3 S6 S10 S15 S17 D12 D16 D19	NORMAL	FIESTA 2
247	FFF	Doin	200	S10 S17 S23 D12 D22 D24 CO3	NORMAL	FIESTA 2
246	Hypnosis(SynthWulf Mix)	BanYa & SynthWulf	175	S8 S11 S17 S21 D13 D15 D20	NORMAL	FIESTA 2
245	Love Is A Danger Zone(Cranky Mix)	BanYa & Cranky	155	S6 S12 S18 S20 S22 D8 D16 D20 D24 CO2	NORMAL	FIESTA 2
244	Ignis Fatuus(DM Ashura Mix)	BanYa & DM Ashura	220	S9 S15 S19 S23 D15 D17 D19 D23 D25 CO2	NORMAL	FIESTA 2
243	Elise	DM Ashura	162	S4 S7 S10 S17 S19 S22 D13 D16 D23 CO2	NORMAL	FIESTA 2
242	Baroque Virus	Zircon	135	S5 S9 S17 D11 D18 D20	NORMAL	FIESTA 2
241	Passacaglia	SynthWulf	175	S4 S7 S10 S16 S20 D12 D17 D22 D24	NORMAL	FIESTA 2
240	Pop The Track	J-Mi & Midi-D	160	S2 S7 S9 S16 S19 D9 D18 D20 CO2	NORMAL	FIESTA 2
239	VVV	ZiGZaG	310	S18 S23 D16 D19	NORMAL	FIESTA 2
238	Dream To Nightmare	Nightmare	178	S19 S21 S22 D22 D24	NORMAL	FIESTA 2
237	Star Command	Zircon	155	S3 S5 S12 S15 S19 D14 D21 D23	NORMAL	FIESTA 2
236	Be Alive (Raaban Inc. Mix)	Stian K	142	S2 S5 S8 S15 S17 D10 D16 CO2	NORMAL	FIESTA 2
235	Xuxa	Smiley	160	S3 S5 S9 S14 D12 D18 CO2	NORMAL	FIESTA 2
234	Utopia	Smiley	166	S4 S7 S9 S17 D9 D18	NORMAL	FIESTA 2
233	Rainspark	Sanxion7	125	S2 S5 S9 S15 D5 D17	NORMAL	FIESTA 2
232	Heel and Toe	KURi-ZiLL	185	S2 S7 S9 S17 D11 CO2	NORMAL	FIESTA 2
231	RE-RAVE	KURi-ZiLL	146	S2 S6 S11 S16 S17 D12 D18	NORMAL	FIESTA 2
230	Take Me Back	KaW	172	S3 S7 S9 S17 D10 D16	NORMAL	FIESTA 2
229	Virtual Emotion	Inspector K	180	S3 S7 S11 S17 D18 CO2	NORMAL	FIESTA 2
228	Tribe Attacker	Hi-G	150	S3 S6 S9 S16 D10 D15 CO4	NORMAL	FIESTA 2
227	Rippin' It Up	Future Funk Squad	128	S2 S5 S9 S16 D4 D18	NORMAL	FIESTA 2
226	Hardkore of the North	Diclonius Kid	190	S4 S7 S11 S21 D16 D23	NORMAL	FIESTA 2
225	Ladybug	Coconut	133	S1 S3 S5 S13 D13 CO2	NORMAL	FIESTA 2
224	Switchback	Celldweller	112	S3 S5 S9 S15 S18 D10 D16 D18	NORMAL	FIESTA 2
223	Rockhill	Beltaine	140	S3 S6 S11 S16 D12 D18	NORMAL	FIESTA 2
222	Y2Z	Affinity	162	S3 S6 S9 S16 D9 D17	NORMAL	FIESTA 2
221	Monolith	Affinity	196	S3 S5 S9 S16 D13 D18	NORMAL	FIESTA 2
220	Jonathan's Dream	MAX&Seorryang (SID-SOUND)	140	S8 S16 D10 D15	NORMAL	FIESTA EX
219	Rave Until The Night Is Over	DM Ashura feat. MC Jay & Veronica	144	S2 S5 S9 S15 SP3 D11 D17 DP4	NORMAL	FIESTA EX
218	ASDF	Doin	170	S9 S17 D10 D17	NORMAL	FIESTA EX
217	Pine Nut	Doin	200	S13 S20 D16	NORMAL	FIESTA EX
216	Pavane	V.A.	160	S3 S6 S10 S17 SP2 D16 D22	NORMAL	FIESTA EX
215	X-Rave	DM Ashura	147	S16 D18	SHORT	FIESTA EX
214	Overblow	MAX	155	S18 D17	SHORT	FIESTA EX
213	Take Out	SHK	170	S18 D19	SHORT	FIESTA EX
212	Cleaner	Doin	203	S21 D20	SHORT	FIESTA EX
211	Trotpris	Doin	156	S14 D15	SHORT	FIESTA EX
210	Crashday	Crash	220	S22 D22	FULL	FIESTA EX
209	Interference	Doin	180	S18 D15 D18	FULL	FIESTA EX
208	Everybody Got 2 Know	MAX	128	S19 D18	REMIX	FIESTA EX
207	Vacuum Cleaner	Doin	222.22	S15 S20 S25 D20 D27	REMIX	FIESTA EX
206	Necromancy	Zircon	173	S4 S7 S10 S18 S20 SP2 D13 D19 D24 DP3	NORMAL	FIESTA EX
205	Smells Like A Chocolate	Vospi	175	S4 S6 S9 S16 SP1 D12 D17 DP3	NORMAL	FIESTA EX
204	Native	SHK	135	S3 S5 S9 S17 S20 SP2 D10 D18 DP3	NORMAL	FIESTA EX
203	X-Rave	DM Ashura	147	S3 S6 S9 S17 SP2 D11 D20 DP6	NORMAL	FIESTA EX
202	The Devil	Banya Production	130-240	S4 S6 S9 S12 S20 D13 D21 CO2	NORMAL	FIESTA EX
201	Hungarian Dance V	Banya Production	145	S4 S6 S8 S17 S18 SP2 D9 D17	NORMAL	FIESTA EX
200	Allegro Con Fuoco	DM Ashura	156	S4 S7 S11 S17 S22 SP1 D9 D18 D23 DP6	NORMAL	FIESTA EX
199	Gargoyle	Sanxion7	150	S4 S7 S9 S18 S22 SP2 D12 D20 D23	NORMAL	FIESTA EX
198	What Happened	Throwdown	130	S3 S7 S12 S17 S20 D20 D23	NORMAL	FIESTA EX
197	Crashday	Crash	220	S4 S6 S11 S17 S23 S24 D17 D26	NORMAL	FIESTA EX
196	We Got 2 Know	MAX	128	S1 S5 S8 S17 S20 SP2 D4 D18 DP3 CO2	NORMAL	FIESTA EX
195	Overblow	MAX	155	S4 S7 S10 S16 S18 S20 SP2 D12 D18 D20 DP3 CO2	NORMAL	FIESTA EX
194	Butterfly	MAX & Rorychesell (SID-SOUND)	128	S3 S6 S8 S13 S16 SP2 D7 D17 DP3	NORMAL	FIESTA EX
193	Take Out	SHK	170	S4 S7 S11 S17 S20 D13 D19 D22 D23 CO3	NORMAL	FIESTA EX
192	Reality	SHK	135	S3 S6 S8 S14 S17 SP4 D4 D15 DP2	NORMAL	FIESTA EX
191	Interference	Doin	180	S11 S18 SP2 D12 D19 D21 DP3	NORMAL	FIESTA EX
190	Cleaner	Doin	203	S4 S7 S12 S18 S22 S23 D20 D24 D26	NORMAL	FIESTA EX
189	Dieciseis	Nina Pilots	143	S2 S4 S6 S13 D5 D15	NORMAL	FIESTA
188	Napalm	Doin	185	S13 S19 S22 D14 D23	NORMAL	FIESTA
187	Tepris	Doin	145	S2 S4 S7 S16 D9 D18 CO2	NORMAL	FIESTA
186	Procedimientos Para Llegar A Un Común Acuerdo	PXNDX	160	S18 D16	SHORT	FIESTA
185	Destination	SHK	150	S9 S15 D18 D20	SHORT	FIESTA
184	Pumptris 8Bit ver.	YAHPP	162	S8 S16 D22	SHORT	FIESTA
183	Bemera	YAHPP	210	S13 S21 S23 D19	SHORT	FIESTA
182	K.O.A : Alice In Wonderworld	Banya Production	156	S8 S16 D18	SHORT	FIESTA
181	NX Opening	YAHPP	133	S16 D17	SHORT	FIESTA
180	Exceed2 Opening	Banya	178	S15 D19	SHORT	FIESTA
179	Witch Doctor	Banya	195	S14 S20 D16	SHORT	FIESTA
178	Moonlight	Banya	180	S16 S18 D20	SHORT	FIESTA
177	Solitary 2	Banya	136	S18 D17	SHORT	FIESTA
176	Winter	Banya	168	S6 S9 S16 D10 D17	SHORT	FIESTA
175	CHICKEN WING	Banya	200	S20 D13	SHORT	FIESTA
174	Extravaganza	Banya	195	S14 SP15 D14 D21	SHORT	FIESTA
173	Love is a Danger Zone pt. 2	Banya	162	S8 S19 D21	SHORT	FIESTA
172	Love is a Danger Zone	Banya	140	S13 S20 D17	SHORT	FIESTA
171	Final Audition Ep. 2-X	YAHPP	170	S20 D19	SHORT	FIESTA
170	Final Audition 3	Banya	130	S17 D16	SHORT	FIESTA
169	Final Audition 2	Banya	130	S16 D17	SHORT	FIESTA
168	Dawn of The Apocalypse	Vassline	100-210	S15 S21	FULL	FIESTA
167	NARCISISTA POR EXCELENCIA	PXNDX	164	S17 D18	FULL	FIESTA
166	Deja Vu	SOM2	115	S7 S16 D16	FULL	FIESTA
165	msgoon RMX pt.6	msgoon	150	S20 D19	REMIX	FIESTA
164	msgoon RMX pt.5	msgoon	102	S17 SP3 D17 DP4	REMIX	FIESTA
163	Set Up Me2 Mix	Banya Production	122	S17	REMIX	FIESTA
162	Pro POP Mix	Banya Production	151	S17	REMIX	FIESTA
161	Hard Core Rock Mix	Banya Production	196	S18 S21	REMIX	FIESTA
160	B.P Classic Remix 2	Banya Production	180	S11 S18	REMIX	FIESTA
159	PaPa helloizing	Banya Production	145-158	S8 S19	REMIX	FIESTA
158	B.P Classic Remix	Banya Production	164	S12 S18 D13 D19	REMIX	FIESTA
