id	title	artist	bpm	charts	type	game
496	Leather	Doin	200	S18 S21 D22	REMIX	PRIME 2
495	BEDLAM	SANY-ON	183	S8 S15 S18 D13 D20	NORMAL	PRIME 2
494	Hey U	MAZO	162	S5 S10 S15 D10 D16	NORMAL	PRIME 2
493	Overblow2	MAX	155	S5 S9 S15 D7 D14	NORMAL	PRIME 2
492	Acquaintance	Outsider	130	S20 D22	FULL	PRIME 2
491	Magical Vacation	SID-SOUND	154	S6 S11 S16 D7 D13	NORMAL	PRIME 2
490	SOBER	BIG BANG	135	S2 S4 S7 S13 D3 D14	NORMAL	PRIME 2
489	Shub Niggurath	Nato	220	S11 S15 S19 D17	NORMAL	PRIME 2
487	PRIME2 Opening	MAX	145	S7 S12 S17 D18	SHORT	PRIME 2
486	Up&Down	EXID	112	S8 S18 D19	FULL	PRIME 2
485	Seize My Day	Rainbowdragoneyes	160	S2 S6 S10 S14 S18 D7 D12 D19	NORMAL	PRIME 2
484	Redline	Archefluxx	170	S5 S10 S16 D13 D20	NORMAL	PRIME 2
483	Good Night	Dreamcatcher	196	S3 S5 S9 S17 D5 D19	NORMAL	PRIME 2
482	Start On Red	Nato	160	S4 S8 S11 S15 D12	NORMAL	PRIME 2
481	Super Stylin'	Warak	146	S7 S9 S11 S17 D9 D12	NORMAL	PRIME 2
480	Allegro Furioso	DM Ashura	176	S5 S10 S13 S17 D14	NORMAL	PRIME 2
479	Utsushiyo No Kaze feat.Kana	void	152	S7 S11 S16 D11 D19	NORMAL	PRIME 2
477	HUSH	Yassi Pressman & Nadine Lustre	82	S15 D16	FULL	PRIME 2
476	HUSH	Yassi Pressman & Nadine Lustre	82	S3 S5 S8 S14 D6 D15	NORMAL	PRIME 2
475	Hyperion	M2U	145	S5 S9 S14 D11 D18	NORMAL	PRIME 2
474	HELIX	ESTi	175	S5 S7 S11 S16 S18 D11 D15	NORMAL	PRIME 2
473	BOOMBAYAH	BLACKPINK	125	S10 S17 D18	FULL	PRIME 2
472	STEP	SID-SOUND	156	S7 S13 S17 D12 D18	NORMAL	PRIME 2
470	Chase Me	Dreamcatcher	200	S3 S5 S9 S15 S18 D11 D19	NORMAL	PRIME 2
469	Kasou Shinja	MAX	170	S4 S7 S9 S16 S18 D12 D19	NORMAL	PRIME 2
468	Me Gustas Tu	GFriend	106	S16 D17	FULL	PRIME 2
467	Just Kiddin	Vospi	125	S5 S13 S16 D9 D18 DP5	NORMAL	PRIME 2
466	Clue	Transin	140	S4 S8 S12 S16 S18 D10 D18 D20 DP4	NORMAL	PRIME 2
410	Death Moon	SHK	160	S9 S15 S19 D17 D22	SHORT	PRIME 2
409	Sarabande	MAX	157	S9 S16 S18 D17	SHORT	PRIME 2
408	BANG BANG BANG	BIG BANG	135	S6 S18 D20	FULL	PRIME 2
407	Vulcan	Memme	175	S22 D24	REMIX	PRIME 2
406	Le Grand Bleu	KIEN	165	S7 S12 S16 D9 D18 CO2 DP6	NORMAL	PRIME 2
405	Asterios -ReEntry-	ATAS	148	S4 S6 S11 S14 S17 D8 D18 DP3	NORMAL	PRIME 2
404	Christmas Memories	Warak	170	S3 S5 S8 S14 D9 D15 CO2 DP4	NORMAL	PRIME 2
403	Death Moon	SHK	160	S3 S6 S10 S14 S17 D7 D17 DP3	NORMAL	PRIME 2
402	Moon Light Dance	TatshMusicCircle	182	S3 S7 S11 S14 D4 D15 DP4	NORMAL	PRIME 2
401	Acquaintance	Outsider	130	S3 S7 S9 S17 D7 D18 CO2 DP4	NORMAL	PRIME 2
400	NUMBER NINE	T-ARA	128	S3 S5 S8 S11 S13 D8 D15 DP4	NORMAL	PRIME 2
399	You're the best	MAMAMOO	122	S2 S4 S6 S10 S15 D7 D10 DP2	NORMAL	PRIME 2
398	Up&Down	EXID	112	S2 S4 S7 S9 S15 D5 D15 DP5	NORMAL	PRIME 2
397	BOOMBAYAH	BLACKPINK	125	S2 S4 S6 S9 S13 D7 D15 CO2 DP3	NORMAL	PRIME 2
396	Jackpot	Block B	130	S1 S3 S6 S9 S15 D6 D15 DP3	NORMAL	PRIME 2
395	Pick Me	PRODUCE101	128	S1 S3 S5 S8 S13 D6 D10 D16 DP3	NORMAL	PRIME 2
394	RHYTHM TA	iKON	82	S2 S4 S7 S10 S15 D5 D11 DP4	NORMAL	PRIME 2
393	Me Gustas Tu	GFriend	106	S2 S4 S6 S13 D6 D14 D16 DP4	NORMAL	PRIME 2
392	BANG BANG BANG	BIG BANG	135	S1 S3 S5 S10 S15 SP3 D6 D16 DP3	NORMAL	PRIME 2
391	Arcana Force	mzet:-P	175	S4 S9 S16 D10 D17 DP2	NORMAL	PRIME 2
390	Sarabande	MAX	157	S2 S4 S7 S16 D11 D18 DP4	NORMAL	PRIME 2
389	Bring Back The Beat	Lunatic Sounds	160	S7 S12 S17 D8 DP5	NORMAL	PRIME 2
388	Further	Doin	194	S10 S18 S22 D14 D22 DP3	NORMAL	PRIME 2
387	God Mode feat. skizzo	Nato	152	S5 S8 S13 S18 D9 D17 DP4	NORMAL	PRIME 2
386	Hellfire	Memme	170	S7 S11 S15 D9 D23 DP4	NORMAL	PRIME 2
385	Last Rebirth	SHK	120	S3 S5 S8 S13 D7 D14 DP3	NORMAL	PRIME 2
384	Heavy Rotation	AKB48 (Cover)	178	S10 S15 S18 D9 D16 D20	SHORT	PRIME
383	Stardust Overdrive	typeMARS	175	S16 D17	SHORT	PRIME
382	PRIME opening	MAX	128	S15 D15 CO5	SHORT	PRIME
381	Move That Body!	DM Ashura	145	S16 D18	SHORT	PRIME
380	Rock the house	Matduke	175	S15 S18 D20	SHORT	PRIME
379	Selfishness	SID-SOUND	160	S17 D18	SHORT	PRIME
378	Silhouette_Effect	Nato	167	S18 D17	SHORT	PRIME
377	Yog-Sothoth	Nato	200	S13 S18 S21 D16 D21	SHORT	PRIME
376	Super Fantasy	SHK	145	S19 D17	SHORT	PRIME
375	Creed - 1st Desire -	TatshMusicCicle	163	S18 S23 D19 D24	FULL	PRIME
374	Bad Apple!! feat. Nomico	Masayoshi Minoshima	138	S10 S14 S17 D11 D18 D22 CO4	FULL	PRIME
373	FOUR SEASONS OF LONELINESS ver β	TatshMusicCicle	178	S14 S19 D14 D19	FULL	PRIME
372	Pandora	KARA	140	S17 D18	FULL	PRIME
371	Move That Body!	DM Ashura feat. Skizzo & Hanna	145	S17 S18 D19	FULL	PRIME
370	NoNoNo	Apink	106	S14 S15 D16	FULL	PRIME
369	Sugar Free	T-ara	128	S15 D15	FULL	PRIME
368	Bar Bar Bar	Crayon Pop	134	S6 D15	FULL	PRIME
367	PARADOXX	MAX & NATO	220	S21 S23 S26 D28	REMIX	PRIME
366	Avalanquiem	MAX & MEMME	175	S19 S23 D25	REMIX	PRIME
365	Beethoven Influenza	Banya & Warak	170	S18 S21 D21	REMIX	PRIME
364	Like Me	SHK	155	S6 S10 S14 S17 D11 D18 CO2	NORMAL	PRIME
363	HYPERCUBE	MAX	145	S6 S10 S15 S17 D10 D16 D20 DP4	NORMAL	PRIME
362	Break It Down	MAZO	176	S7 S14 S16 D5 D12 D17	NORMAL	PRIME
361	Heavy Rotation	AKB48 (Cover)	178	S2 S4 S5 S9 S16 S18 D6 D16 D19 CO2	NORMAL	PRIME
360	Unlock	Miura Daichi (Cover)	128	S2 S3 S5 S7 S11 S14 D3 D9 D15	NORMAL	PRIME
359	Just Hold on (To All Fighters)	void	170	S4 S7 S10 S16 S21 D12 D18 D22 D25 DP2	NORMAL	PRIME
358	Idealized Romance	ETIA.	140	S2 S4 S7 S11 S16 S18 D10 D18	NORMAL	PRIME
357	Queen Of The Red	ETIA.	188	S4 S7 S11 S15 S18 D12 D16 D19 DP3	NORMAL	PRIME
356	Bad ∞ End ∞ Night	HitoshizukuP X yama	204	S2 S4 S6 S10 S13 S17 S19 D11 D18 D23 DP4 CO3	NORMAL	PRIME
355	PRIME	Tatsh	165	S4 S7 S11 S16 S18 S20 D12 D16 D18 D20	NORMAL	PRIME
354	Houkago Stride	Last Note.	225	S3 S6 S10 S15 S19 D10 D16 D21	NORMAL	PRIME
353	Renai Yuusha	Last Note.	190	S3 S6 S12 S17 S19 D4 D13 D18 D20 CO3	NORMAL	PRIME
352	Trashy Innocence	Last Note.	230	S1 S3 S5 S10 S14 S20 D10 D15 D24 DP4 CO2	NORMAL	PRIME
351	Setsuna Trip	Last Note.	145	S1 S3 S5 S9 S13 S16 S18 D8 D14 D19 DP3 CO2	NORMAL	PRIME
350	Ai, Yurete…	TatshMusicCicle	152	S1 S3 S6 S9 S13 S16 D8 D15 D18	NORMAL	PRIME
349	FOUR SEASONS OF LONELINESS ver β	TatshMusicCicle	178	S1 S4 S6 S10 S14 S17 S20 D10 D14 D18 D21 DP2 CO2	NORMAL	PRIME
348	Sora no shirabe	TatshMusicCicle	172	S3 S8 S12 S15 S18 D11 D16 D20 CO2	NORMAL	PRIME
347	Creed - 1st Desire -	TatshMusicCicle	163	S4 S7 S12 S18 S21 D11 D18 D23 DP5	NORMAL	PRIME
346	Bad Apple!! feat. Nomico	Masayoshi Minoshima	138	S1 S3 S5 S9 S13 S15 S17 S19 D10 D18 D21 DP2	NORMAL	PRIME
345	Smile Diary	you	175	S4 S7 S11 S16 S19 D8 D17 D20	NORMAL	PRIME
344	Mitotsudiara	ETIA.	136	S1 S4 S9 S15 S18 D10 D16 D19	NORMAL	PRIME
343	Sudden Romance	void	152	S4 S6 S9 S14 S19 D8 D14 D19	NORMAL	PRIME
342	Imprinting	Sakuzyo	175	S4 S7 S11 S17 S20 D12 D20 D24 DP4	NORMAL	PRIME
341	Yoropiku Pikuyoro!	Bakusute Sotokanda Icchome	198	S3 S5 S9 S15 SP3 D5 D16 DP4	NORMAL	PRIME
340	Amai Yuuwaku Dangerous	Bakusute Sotokanda Icchome	125	S1 S3 S6 S11 S15 D5 D10 D16 DP3	NORMAL	PRIME
339	Moment Day	MAX	158	S3 S6 S10 S15 S17 S18 D9 D16 D19 CO2	NORMAL	PRIME
338	Reminiscence	MAX	155	S3 S6 S10 S17 D10 D18 DP3 CO2	NORMAL	PRIME
337	Stardust Overdrive	typeMARS	175	S4 S9 S16 S18 D5 D13 D16 D19 D24 DP3	NORMAL	PRIME
336	Enhance Reality	Matduke	170	S9 S14 S19 D11 D20	NORMAL	PRIME
335	Across the Ocean	Zircon	130	S3 S6 S9 S15 D11 D16	NORMAL	PRIME
334	Que Viva La Vida	Wisin Ft. Michel Teló	130	S2 S4 S6 S16 D7 D16	NORMAL	PRIME
333	Melodia	Lylloo feat. Egas	135	S2 S4 S6 S14 D4 D15	NORMAL	PRIME
332	Limbo	Daddy Yankee	125	S2 S4 S6 S15 D5 D15	NORMAL	PRIME
331	video out c	Vospi	198	S9 S14 S17 S22 D14 D23 DP4	NORMAL	PRIME
330	Karyawisata	Vesuvia x REDSHiFT	173	S4 S7 S10 S15 S17 S20 D7 D16 DP4	NORMAL	PRIME
329	Achluoias	D_AAN	200	S8 S15 S18 S22 S24 D12 D16 D24 D26 DP3	NORMAL	PRIME
328	Ragnarok	SynthWulf	170	S7 S11 S16 S18 S20 D9 D13 D17 DP3	NORMAL	PRIME
327	Feel My Happiness	3R2	175	S3 S10 S17 D6 D18	NORMAL	PRIME
326	Milky Way Galaxy	3R2	175	S6 S11 S17 D11 D18 DP2	NORMAL	PRIME
325	MATADOR	Cranky	168	S4 S7 S10 S18 S21 D7 D16 D19 D21 DP3	NORMAL	PRIME
324	Dolly KiSS	SID-SOUND	149	S3 S6 S14 S17 D6 D15 DP3	NORMAL	PRIME
323	Cosmical Rhythm	SID-SOUND	128	S3 S6 S8 S15 D10 D16 D18 DP2	NORMAL	PRIME
322	Selfishness	SID-SOUND	160	S3 S6 S11 S17 D12 D18 DP3	NORMAL	PRIME
321	THE REVOLUTION	MAX & DOOM	160	S7 S11 S17 S19 D12 D19 D22 DP3	NORMAL	PRIME
320	One	Epik High	135	S1 S3 S5 S15 D5 D16 DP3	NORMAL	PRIME
319	Ineffective Boss WIthout Power	Norazo	170	S4 S6 S8 S18 D5 D19 DP3 CO3	NORMAL	PRIME
318	Flying duck	Cherry Filter	158	S3 S7 S10 S16 D11 D18	NORMAL	PRIME
317	Loner	Outsider	125	S3 S5 S8 S15 S19 D6 D17 D22	NORMAL	PRIME
